#
# Canon EOS 650D, 1280x720 RAW video
#
N :: 650D :: Video_1270x720 :: 650D_Video_1280x720.dng :: 2068

511, 213, 767, 263, 8, 10
507, 219, 763, 269, 8, 10
504, 234, 760, 304, 8, 10
504, 334, 760, 404, 8, 10
508, 338, 764, 408, 8, 10
511, 413, 767, 463, 8, 10
507, 419, 763, 469, 8, 10
504, 434, 760, 504, 8, 10
508, 238, 764, 308, 8, 10
312, 274, 496, 284, 8, 10
316, 278, 500, 288, 8, 10
768, 274, 952, 284, 8, 10
768, 284, 956, 288, 8, 10
319, 313, 359, 323, 8, 10
315, 319, 955, 329, 8, 10
511, 333, 767, 363, 8, 10
507, 339, 763, 369, 8, 10
 
312, 354, 496, 364, 8, 10
316, 358, 500, 368, 8, 10
312, 394, 496, 404, 8, 10
316, 398, 500, 408, 8, 10
312, 434, 496, 444, 8, 10
316, 438, 500, 448, 8, 10
319, 433, 503, 443, 8, 10
315, 439, 499, 449, 8, 10
 
768, 354, 952, 364, 8, 10
772, 358, 956, 368, 8, 10
768, 394, 952, 404, 8, 10
772, 398, 956, 408, 8, 10
768, 434, 952, 444, 8, 10
772, 438, 956, 448, 8, 10
775, 433, 959, 443, 8, 10
771, 439, 955, 449, 8, 10
772, 278, 956, 288, 8, 10
 
508, 438, 764, 508, 8, 10
367, 313, 959, 323, 8, 10
775, 353, 959, 363, 8, 10
771, 359, 955, 369, 8, 10
 
319, 273, 959, 283, 8, 10
315, 279, 955, 289, 8, 10
 
511, 293, 767, 303, 8, 10
507, 299, 763, 309, 8, 10
 
319, 393, 959, 403, 8, 10
315, 399, 955, 409, 8, 10
 
511, 493, 767, 503, 8, 10
507, 499, 763, 509, 8, 10
 
319, 353, 503, 363, 8, 10
315, 359, 499, 369, 8, 10
 
504, 214, 760, 224, 8, 10
508, 218, 764, 228, 8, 10
 
312, 314, 952, 324, 8, 10
308, 318, 956, 328, 8, 10
 
496, 414, 760, 424, 8, 10
516, 418, 764, 428, 8, 10
 
511, 373, 767, 383, 8, 10
507, 379, 763, 389, 8, 10
 
511, 473, 767, 483, 8, 10
507, 479, 763, 489, 8, 10

